Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,48.16428594,68.61969554,109.7260623,164.9345783,188.5072509
2,87.38180563,123.6368139,185.8461662,238.2943869,267.418442
3,123.4788349,146.3418556,195.8006119,247.9184984,262.3649371
4,123.1939419,150.134494,228.4784706,273.4044857,288.4036056
5,117.4313389,139.778124,198.011519,219.9917318,226.7087267
6,116.1332505,154.0159083,216.3559213,329.2918378,350.7264133
7,125.3805971,153.6132727,202.6423473,263.6178762,277.5580655
8,121.9120545,157.1172766,245.5811775,302.1974785,315.4207617
9,127.383039,148.6629087,210.2732436,257.9485023,275.3838978
10,106.1733225,143.9672088,190.19284,220.0352569,239.579277
11,127.3934066,163.1767932,199.6958425,261.0375923,274.1547864
12,111.9173582,130.5764315,168.240354,209.9251186,221.8327474
13,124.6413305,159.595074,223.8189378,307.7069393,337.6933567
14,108.4035383,138.8697862,181.248006,228.4238029,239.1605556
15,120.1371878,150.8308716,208.0145309,270.2313375,290.5732009
16,113.0395264,141.6167089,189.2699379,239.4929875,262.3791617
17,116.7342227,167.1999563,225.6405787,298.4008917,316.6414521
18,108.8757102,150.1738897,212.045396,278.7847506,302.6984646
19,113.7167442,141.1481238,189.1771568,241.0540156,271.2519464
20,110.4996646,155.897836,210.0396222,271.5226025,286.8357948
21,101.9242864,136.6344008,190.3754508,247.9920098,270.9107805
22,108.6845129,138.712615,175.5415197,210.4852553,249.4223624
23,108.1750444,138.6768163,195.8591471,293.7420447,326.4275084
24,114.6375665,142.4480742,190.8476159,242.9902989,254.2647335
25,109.8190247,131.5338868,183.1912783,236.6867045,266.8973096
26,101.8181441,129.5592361,161.1724746,221.9232915,254.2457999
27,97.52612924,130.1922818,174.5465575,232.135063,250.7551642
28,109.4422758,131.3088525,183.1268123,242.2641528,263.4427558
29,100.0390342,123.1826962,168.6139401,221.2801085,239.896524
30,103.0098973,132.3346933,176.0353817,207.0044552,229.824671
31,99.12114715,123.1702475,178.9056635,227.0909892,255.9841141
32,100.8191713,131.473343,171.5193578,220.9704104,239.4746528
33,100.3761856,126.6814278,162.8418705,201.3494562,222.8421185
34,105.696319,133.7742447,172.3699697,209.7933987,224.1835859
35,106.4223478,134.2062352,191.138408,275.4784231,295.7084035
36,103.3754888,131.7230554,181.2593117,236.0594982,250.2480388
37,94.74250242,115.5422523,153.1768978,215.9950737,236.1855433
38,102.2832997,130.1134124,170.8529524,231.3978132,256.6213405
39,101.5165243,132.0352504,171.8554467,223.1600398,255.9010636
40,96.37226738,123.3523878,160.3545309,191.1149279,209.4438138
41,104.1265312,129.9603022,163.9292162,214.7185538,226.7578187
42,96.69013949,127.9524431,168.0554339,196.7662208,205.8846661
43,106.5639905,133.5035034,175.4588929,224.2772528,243.5733616
44,103.6733361,128.821807,170.1851695,221.3592947,246.7655972
45,111.5812065,133.2395708,174.8530702,202.4158565,209.6161256
46,107.6069655,130.210356,169.047636,202.9207762,232.8578055
47,110.2963126,134.6775927,164.8480334,229.7060294,244.0758033
48,98.10806217,121.1050092,152.7664452,194.2243958,214.375619
49,102.0638841,122.5482218,166.7256238,199.638274,221.5664858
50,106.6093611,137.3183639,172.3822885,230.1830411,245.0549475
51,96.13935633,118.1976873,160.6840482,198.4990757,215.4017037
52,101.4624911,123.0660354,167.8570355,210.9500927,231.9577873
53,96.38949427,127.5368545,174.0378847,204.3610304,214.9295704
54,102.2452883,122.3155166,160.8578649,199.2362225,249.4428289
55,97.98421656,126.0457378,170.4944529,240.9716247,272.0188969
56,99.78166781,123.038694,163.2793321,205.8525089,229.8032162
57,98.09401591,122.4912151,164.3737208,211.6048067,237.0790812
58,109.5575855,130.253839,170.4378767,230.5523275,251.8324724
59,94.63658509,115.4266446,152.6686738,195.3328754,246.4461982
60,103.8086302,121.6614445,171.6999339,226.3021238,252.476754
61,97.85270182,122.1343734,159.6509643,216.1595604,233.1514177
62,91.04604658,115.8696773,146.2587847,184.5725058,199.4237697
63,93.07072513,119.5088067,153.0590664,193.2399295,207.4450767
64,94.13603839,120.2781979,153.5436251,180.7858517,206.5701104
65,97.82123407,115.3469344,147.5431275,185.2515267,208.9182055
66,91.56141847,116.2988308,152.7806564,196.9384831,224.093735
67,95.16504268,116.5369554,147.1019254,198.616055,221.2240993
68,93.42915842,115.4813318,150.2888335,195.964396,213.7754335
69,88.65087121,111.0435319,147.2607499,182.19326,227.3032524
70,98.00655937,119.8021646,161.3267326,194.1453501,222.9232631
71,100.0716011,120.0536489,152.0964712,191.0041936,221.8204677
72,92.54032334,109.1888564,146.5772433,185.7787104,198.6684206
73,93.34376296,114.9172716,155.962146,207.7963806,249.7639387
74,90.33042927,112.4297163,148.7091503,210.6833483,244.3908653
75,93.6979265,119.8394398,160.2530608,220.6183586,259.0846576
76,89.10761991,114.8172674,149.3095505,201.5499343,230.4903879
77,94.00489306,119.8253582,155.649096,200.860552,223.5623446
78,88.11890853,109.6893204,141.8207044,184.2287846,200.0220923
79,94.35908333,112.163125,147.2141532,200.240341,216.6147199
80,91.55884233,114.9054667,144.4223197,168.0817408,183.2429712
81,88.75937149,114.7031274,149.1808343,190.7290242,213.0910424
82,90.28120977,115.7883829,150.46468,223.3086066,296.2939059
83,88.2480196,112.2973806,147.9118432,182.1315939,200.1659795
84,94.31691448,116.5374645,150.3363128,191.8890447,222.6839156
85,82.98079171,104.633968,142.7311346,179.3035898,199.1159283
86,89.67565648,113.1109273,156.1570872,209.1653529,226.4181795
87,81.74993494,108.5051853,140.5385085,179.596578,205.265931
88,86.74163341,113.1369546,149.3589983,208.6176817,227.074828
89,95.12974694,118.5258886,153.4437193,195.4312562,209.887646
90,96.37864926,118.2999763,147.330087,189.245466,209.3300169
91,89.0720659,107.1231945,137.0478374,175.1106427,216.5207303
92,96.2309243,121.4589919,150.1054196,203.7169533,229.0219492
93,89.80795452,116.0747854,154.6424178,206.839424,230.0388723
94,98.50723068,118.570543,150.9201265,189.7349053,217.8800961
95,88.37348457,111.1369284,145.8030826,200.6369093,237.6572203
96,91.77682713,112.136669,150.2130033,189.9487814,206.3892483
97,92.15943521,119.1511307,150.0699978,201.4473595,232.5195534
98,90.0845623,112.0839251,147.345005,189.4683393,232.5492116
99,91.61889381,114.3075182,146.2511014,189.4690275,207.3280381
100,93.77163158,112.2746044,142.0037493,182.2676479,205.7545518
101,91.04798475,114.4243908,145.999494,197.6325544,219.1326315
102,91.68304261,111.5457025,151.3416402,190.234199,212.7325787
103,93.96804935,114.327631,158.1268605,209.5184482,226.7290506
104,86.53675297,108.8495434,150.1115892,188.9295059,207.9176291
105,89.9330553,109.9851991,145.3165395,169.4400078,183.0204405
106,88.31285343,109.1714316,145.1158451,182.8498319,212.9181872
107,91.66346674,118.8877564,153.428154,213.4706485,237.6211887
108,82.89208975,104.4718552,136.9195965,176.0758242,209.0323197
109,93.13328064,117.4734661,164.9541631,214.4464105,241.1300792
110,82.15254323,106.0793055,140.9785037,178.2156903,223.5272131
111,92.18142853,114.5750048,150.7935665,190.9001739,211.4231185
112,86.03152,102.0002577,132.74211,167.8638792,184.7003314
113,88.00579666,105.1519222,138.1434596,175.7797397,195.3003914
114,87.56805376,108.5452137,143.8787395,184.7685908,205.3031688
115,81.50035163,104.7028154,136.6838832,172.9045665,190.1802255
116,88.98573082,108.6895569,139.5258245,177.6356111,199.7062662
117,85.87144803,105.4159277,141.6197017,183.756639,206.8307888
118,87.19478286,106.2606252,139.0287557,189.0336139,210.5148426
119,88.89401652,110.9991552,140.6466089,185.9259838,208.5329268
120,86.44047371,105.5012852,137.4718575,165.8854105,183.6550158
121,83.17222823,105.1225332,139.245697,205.2431467,240.9715898
122,82.65913047,104.5402189,140.0625043,173.9237084,187.512112
123,77.50780402,99.26263121,132.4479655,165.424458,227.5539193
124,84.94186626,104.2477314,138.0995329,192.6431717,219.4982235
125,81.86389393,106.2873033,135.1183822,170.9099679,192.706353
126,84.21493039,106.7176249,137.0703851,172.6262172,193.7407141
127,84.16048786,103.287274,133.818,179.989585,208.2446076
128,82.56741026,104.794318,142.5555861,191.1358295,213.1015708
129,84.01452787,103.3242998,138.2664635,197.8532235,241.3613736
130,79.57307153,104.5634917,138.4012576,171.4778811,194.4117995
131,83.20564711,102.1635469,137.9485378,193.6129552,228.4410678
132,83.48655682,102.0603774,139.5354255,182.6343453,208.3727154
133,84.01914497,107.6013306,144.7665353,184.4389918,205.7457456
