Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,24.23893319,33.01383372,50.79502511,67.93410239,76.13759545
2,29.95834782,41.11800083,62.17803643,87.04445669,107.9231268
3,35.25840385,48.74737836,72.47144275,103.3345414,130.3222402
4,34.9416889,47.55418481,71.17052172,101.442134,120.868673
5,38.33394841,51.56993171,78.77275839,109.057146,120.8243629
6,37.33292685,50.68421896,76.98879142,102.0261233,121.5775847
7,38.15300593,52.0237559,78.29341522,111.588023,139.691863
8,38.6182281,52.0926282,78.95847062,110.615303,135.3816896
9,38.91497089,52.11864382,75.5876057,105.516825,123.7733423
10,38.29086954,50.88528771,76.11161334,107.2810682,123.7236193
11,38.49078665,52.75255586,77.87642867,105.9144651,122.6318399
12,39.57583011,52.87688208,78.37807214,107.0963354,121.0446524
13,39.10065418,51.85458946,78.37482201,114.9914851,141.9420454
14,41.91989963,56.31092142,80.88815962,109.0745438,127.7506267
15,39.61262699,52.57844751,79.46562136,108.554941,125.0485425
16,40.44119407,53.7989903,79.97616873,108.5210605,131.7553297
17,39.89052562,52.83972778,78.28579039,106.0080184,123.4479679
18,41.61817216,54.75770351,80.53921621,115.5739275,144.0959382
19,40.01312981,53.10381618,80.50377433,112.6297657,136.1886611
20,40.90619054,54.02311608,78.27381132,104.9649408,124.1929866
21,39.72242583,52.4814084,78.55756829,110.4102232,132.2106289
22,40.36410203,52.83785329,77.02218217,106.7656758,128.6201272
23,40.30667994,53.53672947,78.92068951,112.8706698,129.8041718
24,39.78988553,52.97548261,78.62605802,104.9621003,120.4022538
25,41.95874937,55.77687814,85.8690428,115.8422973,141.8277402
26,44.77661197,57.47476514,83.40869991,118.6391965,127.9630523
27,45.99161391,61.43149948,94.47649047,147.5099565,162.783794
28,45.20120075,56.15990609,78.50495922,105.2796721,129.2661275
29,45.42912643,58.49598994,88.45201822,124.2359284,134.604836
30,44.35748023,57.75122196,83.05954692,112.7915737,130.2864809
31,45.89811358,63.10392521,91.41395774,130.7278838,138.891707
32,43.49440633,56.93987798,81.3578838,121.5234215,137.541287
33,45.96047213,60.97655099,84.711818,109.2322702,166.2636229
34,43.04605798,55.25642853,79.34813933,111.2913416,136.1684117
35,45.4796299,61.38062297,87.16269613,124.6104715,149.4702324
36,43.23860567,56.50562229,80.14093766,115.6059422,146.8783535
37,46.93035178,59.6734826,85.51837504,109.818595,138.202573
