Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,46.79110435,70.80014762,122.7764288,173.3281228,200.9692644
2,88.82131081,137.7736708,189.9409751,250.5377439,284.4976976
3,87.71994654,136.9171984,193.064858,237.2578461,265.7767725
4,100.8526183,149.0922992,235.3800761,277.0112227,292.2044506
5,130.9868609,173.0921298,221.5368344,314.5967481,350.7334568
6,128.9881934,158.5178409,249.4163038,287.1774082,320.8855386
7,131.9870129,160.2157733,241.38318,292.5925102,326.0018518
8,166.118719,214.5266339,291.3410966,351.419212,365.0593327
9,133.7002303,174.4719881,247.8563124,283.7600458,296.718262
10,123.5644324,166.0819366,251.4917056,280.011647,289.4933255
11,113.7949726,141.9705101,215.1999156,248.858538,262.5896166
12,133.4446794,154.3644921,213.366028,271.6829054,300.2326597
13,126.7694247,173.2719403,243.4806195,311.5124442,327.2221506
14,135.060904,150.5395786,203.1540649,238.7297764,254.0104297
15,133.8822471,152.561623,191.850081,246.2375574,257.1624367
16,137.1204221,160.8419541,206.1822839,280.094545,295.096236
17,135.3912064,175.6817632,233.8127735,285.4293276,294.0159593
18,131.2623621,177.9046695,241.0466922,277.0625863,286.2782814
19,126.6914281,169.4923522,214.7101137,237.6546035,248.0094633
20,124.5096618,161.2628992,213.3158711,238.8759633,247.3356703
21,122.6790244,153.2502859,189.1196575,335.4304917,359.5966318
22,127.4898209,164.1527311,217.7507045,268.3677962,286.1380701
23,129.3630255,165.0886881,212.6754637,260.4756903,304.913994
24,126.1836726,150.0690807,205.7577586,255.870346,330.7094056
25,126.8439551,154.1466383,195.9666703,241.3417365,260.0951285
26,118.2886826,152.1413319,209.6249623,246.6988682,258.8278169
27,115.1760879,135.1737656,172.7683057,254.2513439,295.783396
28,121.7750418,152.1148413,202.8658432,246.0278701,283.6493023
29,120.5899834,143.6769585,189.8927442,230.9472021,253.3273859
30,116.4007594,140.3628565,193.8296424,228.7245694,242.9221086
31,110.4623291,136.9954465,176.6199882,234.7443593,269.4285983
32,114.1109502,137.1983971,183.1749996,260.086727,289.6031104
33,116.8720215,143.2912696,195.1849071,239.0696535,263.2909888
34,121.0364678,142.5107354,184.5905426,226.6606879,243.7805539
35,114.1026083,143.4980051,189.5505715,232.1409489,248.1914529
36,129.9119743,158.6264045,196.2867775,247.9059275,265.7861356
37,101.4967264,133.3513735,182.2487554,229.019837,244.7996964
38,113.4099314,136.0444366,180.0008463,224.6428402,234.1079821
39,114.8409871,141.3971259,178.9253293,212.7715923,230.5807049
40,106.7584846,140.5130218,186.5495252,231.5815781,251.3464187
41,106.2505406,130.0407044,169.1937216,223.0090853,260.1382305
42,104.5091577,124.6477002,165.5789451,229.1249731,244.7272217
43,108.7808526,136.7210361,195.837873,239.1368136,274.5514723
44,103.7434091,139.3653358,183.8173358,279.1899839,299.735587
45,101.9102123,131.9001989,184.7360916,240.9097349,273.1035148
46,116.1679761,137.0204132,176.5725962,269.6705156,293.732307
47,110.4354675,146.5280686,180.4792394,244.1271369,277.2389108
48,108.6711361,135.173029,179.0865462,225.1978071,253.459817
49,110.1372068,131.0920562,168.2284406,210.5621986,232.7139307
50,100.8342106,126.2385991,173.071766,201.3255753,220.237499
51,102.8606714,133.2082393,198.8565416,240.7579197,258.9005569
52,108.145104,133.5074836,164.1208601,210.2778416,223.7560976
53,124.1497304,141.2428954,166.3481179,229.1570915,241.0247239
54,113.838061,140.595985,192.9038122,238.797185,253.0037531
55,104.4002987,144.9450482,173.6834638,207.7493944,217.7063079
56,105.6247158,134.8918678,177.0046185,203.6969665,215.6526763
57,110.0169991,131.0942267,170.9869776,209.6267218,218.7331185
58,106.5284782,128.7502349,172.5402915,216.0031724,237.6804415
59,109.1181943,129.7523533,186.4374508,265.1305345,283.7325053
60,112.478166,129.6135851,194.3665187,228.7573464,249.5693392
61,112.8503725,138.6370572,173.9834412,213.662514,231.7644969
62,108.4619767,129.4450362,169.1770416,215.5085633,238.2253632
63,102.0299279,132.9246453,168.4402104,225.6081243,263.4518859
64,117.8289744,131.6953535,178.3274257,208.0780532,216.2013235
65,101.56563,123.1074906,166.269048,205.0272197,228.2398103
66,96.73561521,126.7755076,177.4725961,221.842623,239.9061207
67,114.1153897,130.2029743,169.9808491,225.2755532,282.4188167
68,104.7068315,131.5360018,165.9397999,198.9954858,215.1425144
69,99.0122158,122.9609016,156.9028305,190.945199,210.7159827
70,105.7398374,134.2062752,170.4407721,211.2431479,227.5317897
71,102.0851428,120.8009057,151.0047125,196.9139496,222.0131744
72,106.55713,134.7788576,174.6537151,203.7736411,218.4262873
73,109.3222195,130.6722314,171.0470105,209.8141251,259.8122813
74,102.8660744,122.0958396,165.4887199,224.1887683,254.7896657
75,103.6536397,129.2746012,165.6202587,200.5133967,220.4110244
76,99.22817454,125.2472785,163.0647255,195.4285377,213.1644243
77,98.85324587,126.0038951,170.1918126,214.0349721,239.178174
78,95.43016929,118.9832495,152.1928171,189.486974,207.3250928
79,104.9325062,125.8572979,164.7630653,211.2896469,263.1042921
80,94.48694997,119.5313109,152.9909752,196.0225487,218.2669038
81,107.7518772,125.9979153,173.2422408,211.6542604,236.5109653
82,94.00054389,116.3475333,153.7099637,200.6783589,228.3466562
83,107.7417353,127.1937819,166.4280137,216.5857993,275.7280541
84,100.2645293,122.5395364,158.1371201,186.5176569,196.1516138
85,100.5275688,124.4542838,158.230028,203.5083189,224.4972297
86,93.70307488,116.696318,161.8573483,195.4996893,218.1170138
87,97.22325056,121.3614184,162.608342,225.9884126,263.2867216
88,99.69573023,120.5506754,165.1383714,206.0067209,228.0796362
89,94.05936123,118.666623,161.2401456,198.8288593,250.0111959
90,91.86921081,120.1217693,174.5335545,229.4894385,245.0377559
91,97.38898502,117.3373256,156.7733021,185.4600241,195.2440713
92,90.85781932,112.4490705,145.7028336,201.4063593,237.8349545
93,99.0816174,125.8231197,156.9020586,206.6349307,238.5270724
94,94.60901721,111.3877484,148.0266471,205.8512965,215.7243627
95,97.54164216,122.8522076,161.5861445,212.2288218,237.8676941
96,92.69195742,123.3582526,168.0075071,230.1550812,255.5918081
97,93.75280351,116.079043,151.338517,191.3080894,217.6053513
98,96.99875208,115.621943,154.6161069,196.1519931,208.1790219
99,97.66876791,122.9367288,156.9419595,196.5883508,215.1489157
100,111.6800699,128.6071725,155.748031,233.2309989,249.4640428
101,105.0242526,125.7609261,167.6143939,215.9941746,233.1415763
102,98.18837404,116.3597938,152.690129,187.8681165,207.1206346
103,98.78720558,125.4378779,167.827794,217.3325513,248.4786508
104,95.40592947,118.2929948,160.6279501,201.152121,219.1566777
105,93.4840137,118.3773639,151.6291946,193.886963,223.1585004
106,104.6917883,130.7946764,168.1007763,213.4646084,230.3919146
107,100.6266815,121.1399066,159.3874064,205.8076547,230.6626034
108,96.82452398,122.151101,153.9058937,190.3253856,208.6107549
109,97.15000345,118.2813534,164.2736245,182.0771797,187.7250157
110,102.0416626,126.2742005,160.3181901,213.4255664,229.1353731
111,103.6660553,117.8293611,154.102521,206.0118014,217.9293941
112,98.58624456,125.079338,164.7771264,190.2485859,198.0291051
113,99.56859729,122.2422288,160.1199714,212.0724699,235.5317128
114,92.89409603,119.5846271,154.009763,187.0627139,209.7710637
115,99.03238749,123.5869732,154.5924502,193.9023178,204.4532869
116,100.9904189,118.4266195,155.745104,185.8049515,212.1265191
117,92.39199691,123.1059814,155.9610081,190.7840804,216.2355613
118,94.32123913,111.922574,140.6442517,186.9597807,211.1012624
119,97.25469431,121.2509847,156.2512882,187.2714783,195.3411031
120,86.09502937,109.4049289,142.6316591,188.5894039,211.4836394
121,96.15549771,117.9638003,149.9703347,180.0640792,196.0200383
122,92.24479482,117.2062219,150.5445706,211.0432021,235.1602345
123,90.61267388,116.6913014,144.077871,188.9522679,221.0111248
124,92.40439382,115.3082925,157.4188605,184.6297974,192.6445179
125,90.91242025,114.8249643,150.5709798,185.3185396,211.0438022
126,96.27495615,121.4796723,178.3591691,223.0888149,240.3515495
127,95.43002912,120.4191659,154.7222139,192.9590386,215.3788709
128,94.78982121,114.6361229,158.7195341,190.6211911,201.1281657
129,86.30702422,106.5638945,147.429237,187.408864,209.5256007
130,89.02012944,113.9192196,147.2368643,204.6543472,226.9896963
131,83.14339857,106.5678908,140.9313228,182.8819267,201.7352014
132,91.53773476,122.3450897,157.6499202,199.8193478,220.687308
133,82.54399787,104.8158085,144.4550864,171.5364914,181.5893457
134,94.91502403,116.9707254,152.6945747,204.7405983,218.0716706
