Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,28.9314045,38.87704231,53.81484539,69.26893531,83.05824694
2,32.07710922,44.28041532,61.7677765,81.36880627,104.411836
3,33.60849422,45.71911198,71.18530306,94.65862312,100.8661596
4,36.10803826,48.47152021,67.26794257,91.40655908,104.46669
5,38.14577107,51.35572412,78.04631438,104.8828505,114.7127138
6,34.66020192,44.8271877,65.11127021,86.31387869,108.7255141
7,38.89065571,51.49990813,77.78049121,107.3265914,121.4661624
8,35.20899336,47.54052765,68.56197532,92.738914,107.9678681
9,38.30820572,48.89306291,68.41816633,97.01572899,119.5979986
10,34.67428875,45.60747655,65.58548928,90.57775711,106.3683355
11,38.56045021,49.06739329,73.29491016,95.72530161,108.2308827
12,35.26998811,46.10035409,65.88587689,91.16284821,106.4724307
13,37.39836398,50.37136588,73.13264713,100.1973178,113.9275662
14,35.65547314,47.315158,69.00174921,99.27563334,118.8436534
15,39.44121836,49.58406342,72.25437291,100.2600813,117.245784
16,35.87298178,47.75251144,70.2375191,95.16046369,112.7699066
17,35.32361242,46.06774,68.13308487,96.48501285,129.7627629
18,36.4037054,47.98032306,70.65598099,92.03059591,111.64351
19,35.02115853,45.22643177,65.96223093,88.45636056,104.1285069
20,38.36516877,49.24447624,69.84567481,95.80511841,114.8420332
21,34.45277782,44.5307881,66.61838119,90.08224759,104.5506787
22,36.94187731,47.98981474,71.15535844,97.32945676,119.3607448
23,34.94110427,45.43384507,66.387212,92.23266462,107.4496956
24,38.66806074,50.53298158,72.24073668,96.17689955,113.4638688
25,35.22648741,45.32844525,67.26968127,89.76316671,115.1007445
26,36.24891163,46.62878422,69.00409576,97.41462719,109.2034244
27,35.66710907,45.96464723,65.85296443,89.68032288,107.4012726
28,35.68183706,46.93953422,68.14181889,91.77551993,111.6507123
29,34.69015815,45.60556553,66.67823677,98.26726851,120.2609023
30,34.30850196,44.63421591,67.36253686,92.0626726,112.5994615
31,35.71580358,47.62469042,71.71959679,101.8167403,123.6338985
32,34.61167735,45.2492146,64.39873826,88.09998043,108.4302915
33,35.697926,46.29033177,66.29023135,92.36227578,107.8878619
34,34.67866934,45.61147829,65.99013338,89.79176344,109.1533895
35,35.41075472,45.85876203,65.21105397,88.91819327,101.1534146
36,34.32022015,44.66559957,64.70455395,93.55737875,110.0344116
37,36.33607324,47.08448037,69.68404185,95.33200262,113.2420628
38,34.68044067,44.95630793,65.57193771,92.98371869,106.2405725
39,35.53460249,45.77155373,65.86504771,91.48667058,110.2218812
40,34.41991914,44.97548193,65.29337701,89.74131451,110.9720152
41,35.60527705,46.34687903,67.37017739,90.12147459,111.4393121
42,35.67103577,46.32532006,65.94713536,89.15506303,100.0013227
43,40.46596185,49.44425073,75.6917109,94.49230544,112.5296437
