Time_min,D05_micron,D16_micron,D50_micron,D84_micron,D95_micron
1,45.52187063,62.85141888,99.20799445,154.8498785,180.2678295
2,66.30651536,100.2971297,168.1538398,235.3034889,255.7059126
3,99.00184645,144.8118739,209.0191324,346.6912748,370.0225022
4,104.3095654,150.3651434,212.8508696,292.638884,309.5794376
5,147.1721254,180.0657463,259.0467016,339.2356739,356.2068387
6,128.7758482,175.6831958,212.4301075,303.6339988,329.8136013
7,196.8858372,213.5193142,251.1885191,258.5718462,259.7609997
8,151.1263583,197.2721097,256.1195101,277.1367404,283.5164974
9,155.1267881,203.6682673,261.5444437,309.6471123,314.7368456
10,130.7411857,158.3213836,306.8946613,315.3011077,318.06984
11,161.9266494,194.920614,265.0523949,304.6529148,309.5306924
12,123.844405,145.1608772,184.3439347,265.6770884,270.118917
13,138.1703603,178.1181698,207.805785,240.8392167,249.1102833
14,151.1421751,185.9067745,387.8935877,409.2299506,416.3811176
15,140.9795079,170.8777216,202.5445,256.6325157,267.9951477
16,91.41977849,138.6383417,215.8192195,223.9021763,226.5815255
17,149.2918496,175.3129959,224.0906122,277.1280468,290.991759
18,108.860115,114.8832029,147.3960155,156.9760887,160.1119485
19,120.600135,143.7902857,189.1628078,252.7018102,266.5160323
20,131.6107584,146.0607626,203.5206991,226.526373,230.6994192
21,145.3817542,182.8711354,227.9225283,273.0737687,305.7878429
22,136.4769116,153.2756245,174.6166734,194.7059969,200.6483261
23,119.5426928,152.8904891,222.2709194,259.9872346,269.7806891
24,141.0730637,165.8258354,226.0843438,247.6806011,252.4220466
25,105.0088785,146.8170219,196.094416,268.811823,294.7666773
26,138.2410955,158.4698354,205.5256166,287.6752084,322.5102405
27,119.3206357,149.4346265,222.3193927,280.9727665,289.6373921
28,115.7640112,140.0002311,170.4954248,195.943804,217.3791737
29,123.3734351,162.5753902,216.6060402,280.6785078,297.5787254
30,129.4348845,160.3934308,226.006098,258.2036284,268.0498548
31,129.1998371,173.5069429,213.1748883,319.8104229,331.0439776
32,127.7332605,157.0061506,208.9722777,238.2132573,253.8018585
33,132.8806466,148.6531291,181.1078891,229.7430647,235.2560091
34,121.9918901,155.3753002,205.6717697,264.9673235,298.9087143
35,116.9467716,141.2701797,172.3292596,206.5823248,213.4188107
36,109.1990829,136.5884492,178.4381579,225.9380304,251.3886475
37,125.0980788,151.8797963,199.2412814,227.4832798,244.8865144
38,111.5570341,135.7156393,184.3550868,239.704125,259.5569979
39,115.0309379,146.4147064,207.3925608,244.6433903,254.9476966
40,113.5882813,141.6579755,196.9995801,232.2437703,239.089864
41,118.553355,144.3925178,204.8337773,246.792848,257.8442115
42,111.6984513,137.5969682,171.1230313,232.1811734,255.5399977
43,112.4322278,142.2486615,197.6321756,231.7305712,245.4300292
44,113.5587602,139.8137965,185.8200038,274.9686764,290.7812379
45,109.8202029,131.7557005,162.7864095,225.4586464,254.9054116
46,110.1732097,146.6075464,188.8953367,234.2081665,243.9875269
47,116.2219666,143.8012777,189.9138136,224.5731297,248.5817237
48,114.3081515,137.6760101,180.5910237,215.7222167,234.6767226
49,109.4777045,133.9150932,174.1412302,210.0807477,225.8774105
50,117.5635739,134.3391171,170.8940727,305.4559931,327.8987902
51,106.5229744,150.3695633,174.298469,193.5108457,197.8185691
52,116.1838625,131.1919834,211.5452816,214.7747601,215.8301107
